Table 18: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Drugs and Other Non-durable Products (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Florida,281,285,300,330,372,421,469,533,625,708,743,766,833,915,962,1040,1070,1092,1133,1141,1143,1125,1096,1232,0.066,,
Georgia,270,276,285,300,314,341,375,402,460,511,550,618,685,753,780,832,854,857,875,848,850,841,855,938,0.056,,
Kentucky,283,288,296,307,326,358,400,454,534,618,711,814,857,911,913,962,997,1002,1053,1062,1107,1095,1097,1199,0.065,,
Louisiana,280,285,295,313,334,359,398,432,498,565,627,685,756,809,878,1010,1077,1125,1202,1209,1218,1226,1189,1257,0.068,,
Mississippi,261,269,271,289,297,324,361,399,462,524,584,654,721,796,859,924,988,977,1026,1008,1026,1067,1035,1132,0.066,,
North Carolina,265,273,278,291,313,338,376,411,483,567,662,735,818,878,911,956,972,1003,1052,1053,1073,1100,1139,1238,0.069,,
South Carolina,246,253,259,276,299,331,373,405,471,537,609,686,762,808,898,943,963,972,1021,1036,1054,1080,1112,1193,0.071,,
Tennessee,295,305,315,326,356,383,426,467,541,613,715,825,951,1038,1047,1069,1116,1125,1154,1128,1132,1137,1115,1216,0.063,,
Virginia,268,271,275,289,327,349,382,416,459,513,571,646,696,772,813,868,898,911,941,921,941,943,974,1015,0.060,,
West Virginia,304,313,329,344,376,400,449,483,535,581,671,765,857,935,982,1107,1176,1186,1216,1208,1241,1220,1218,1377,0.068,,
Southwest,262,267,274,283,300,325,352,382,433,481,525,552,608,646,695,793,870,885,896,889,904,913,910,1023,0.061,,
Arizona,259,261,278,285,303,325,338,380,435,466,496,518,577,622,672,758,808,814,785,768,779,759,727,814,0.051,,
New Mexico,242,250,258,272,284,303,319,349,403,454,499,537,574,614,635,682,717,693,700,697,698,690,669,748,0.050,,
Oklahoma,265,274,272,284,303,330,353,383,447,503,565,612,663,736,775,878,941,986,1028,1042,1063,1103,1088,1180,0.067,,
Texas,264,269,275,283,301,326,358,385,433,483,529,552,610,640,694,799,887,904,921,913,928,941,949,1073,0.063,,
Rocky Mountains,236,241,263,264,273,300,330,357,402,437,480,526,568,589,623,689,725,712,696,668,674,679,676,743,0.051,,
Colorado,239,245,281,278,281,299,323,353,408,438,466,487,522,549,581,648,695,668,641,599,601,611,605,681,0.047,,
Idaho,222,226,236,237,244,273,305,329,361,398,444,523,582,611,638,686,708,713,722,721,736,724,730,796,0.057,,
Montana,253,263,273,267,273,305,338,362,403,442,469,500,556,568,614,700,753,764,785,783,784,793,814,865,0.055,,
Utah,230,233,244,259,281,316,354,377,416,457,531,612,650,656,687,741,755,753,731,706,723,732,720,784,0.055,,
Wyoming,235,235,246,243,253,289,334,362,391,427,479,531,578,619,665,792,840,816,781,740,723,703,702,751,0.052,,
Far West,257,260,259,263,270,287,317,345,388,425,475,536,598,633,673,743,794,813,827,817,829,829,851,931,0.058,,
Alaska,249,254,256,269,258,294,340,369,420,462,501,558,633,645,683,739,781,763,720,680,664,640,584,640,0.042,,
California,253,256,252,252,257,270,297,324,366,402,453,516,585,620,660,729,783,809,829,826,843,846,875,955,0.059,,
Hawaii,318,314,332,332,334,341,376,402,450,471,530,598,676,791,854,895,978,1026,1068,1021,1004,1013,1037,1181,0.059,,
Nevada,268,283,305,317,337,369,413,448,512,567,629,702,758,789,830,911,943,940,923,894,899,886,866,966,0.057,,
Oregon,240,247,251,266,283,318,354,380,413,448,482,532,561,575,611,684,729,740,753,742,760,761,788,882,0.058,,
Washington,273,276,279,291,302,327,363,400,445,480,529,574,618,647,679,759,796,790,785,750,747,737,740,795,0.048,,
"SOURCES: U.S. Census Bureau; and Centers for Medicare and Medicaid Services, Office of the Actuary, National HealthStatistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
