Table 3: Total All Payers State Estimates by State of Residence (1991 - 2014) - Physician and Clinical Services (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Ohio,7342,7777,8107,8378,8577,8863,8853,9315,9773,10682,11984,12917,13789,14457,14915,15250,16022,16676,17181,17699,18326,19505,19646,20626,0.046,,
Wisconsin,3137,3498,3827,4052,4362,4340,4491,4642,5376,5792,6687,7318,7756,8293,9020,9731,10312,10851,11075,11104,11395,11618,11716,12482,0.062,,
Plains,10524,11589,12379,13213,13763,14451,14932,16920,17415,19165,20412,21950,23515,24577,25049,26223,27999,29188,29919,31053,32415,33533,33840,34664,0.053,,
Iowa,1531,1681,1811,1905,1941,2016,2081,2381,2484,2636,2865,2959,3322,3410,3532,3665,3814,4063,4165,4271,4385,4538,4607,4826,0.051,,
Kansas,1687,1813,1901,2020,2159,2236,2296,2549,2579,2924,3144,3366,3705,3919,4081,4166,4374,4592,4674,4752,4967,5020,4830,4935,0.048,,
Minnesota,2794,3070,3489,3710,4030,4344,4349,5173,5215,5759,6305,6501,6887,7120,7414,7819,8275,8374,8545,8872,8788,9113,9291,9589,0.055,,
Missouri,2888,3240,3316,3613,3603,3765,4005,4417,4593,5069,5169,5876,6044,6310,6150,6398,7074,7354,7617,8012,8801,9115,9266,9346,0.052,,
Nebraska,829,925,971,1022,1007,1041,1107,1238,1289,1435,1603,1766,1948,2135,2166,2342,2489,2688,2731,2849,3081,3216,3260,3306,0.062,,
North Dakota,421,453,457,472,525,517,500,524,519,548,578,627,696,756,783,814,889,958,965,1028,1072,1178,1220,1268,0.049,,
South Dakota,374,407,436,470,498,532,594,637,736,793,748,855,913,927,924,1018,1084,1159,1222,1268,1322,1353,1366,1394,0.059,,
Southeast,41307,44304,47621,49878,52172,54376,58024,61422,65272,71354,78120,83877,91493,99171,103460,109527,113693,120488,124586,127139,133426,140036,143157,151015,0.058,,
Alabama,2904,2947,3226,3473,3495,3575,3892,4182,4257,4549,4852,5295,6362,6506,6610,6718,6858,7180,7377,7482,7713,8005,8047,8423,0.047,,
Arkansas,1492,1516,1654,1725,1795,1782,1937,1976,2163,2353,2505,2731,2972,3248,3580,3764,3973,4103,4125,4088,4259,4380,4428,4851,0.053,,
Florida,12228,13252,13966,14504,14620,15057,15816,16417,17557,19402,21412,23126,25470,27741,29601,31392,32981,35514,36546,36924,39002,40727,41463,43592,0.057,,
Georgia,4570,5014,5363,5478,6118,6415,6827,7375,7759,7939,8599,9744,10051,11435,11536,12953,13239,13771,14109,14413,15302,16346,16782,18325,0.062,,
Kentucky,2150,2366,2504,2615,2901,3028,3195,3351,3784,4281,4445,4799,5183,5418,5488,5669,5767,6011,6209,6363,6754,7171,7563,8077,0.059,,
Louisiana,2738,2960,3079,3158,3189,3270,3485,3810,4201,4497,4622,4862,5357,5768,5611,5793,6112,6473,6764,6896,6871,7020,7480,7988,0.048,,
Mississippi,1352,1343,1520,1580,1727,1825,2043,2060,2093,2432,2716,2913,3095,3132,3453,3699,3846,4030,4174,4261,4462,4665,4580,4682,0.056,,
North Carolina,3716,4100,4609,4908,5089,5470,5824,6129,6746,7391,8840,9005,9444,10165,10967,11523,11877,12642,13256,13677,14402,15311,15469,16014,0.066,,
South Carolina,1859,2009,2190,2313,2443,2576,2827,3059,3318,3546,4058,4432,4795,5262,5406,5783,6038,6294,6424,6533,6851,7096,7438,7810,0.064,,
Tennessee,3167,3416,3776,3984,4587,4828,5222,5696,5869,6375,7220,7088,7782,8736,9017,9250,9403,9912,10245,10646,10975,11560,11775,12303,0.061,,
Virginia,4056,4175,4455,4785,4805,5105,5416,5780,5857,6788,6880,7751,8762,9450,9830,10565,11104,11951,12605,13057,13905,14672,14964,15610,0.060,,
West Virginia,1076,1207,1278,1353,1404,1445,1540,1587,1668,1803,1971,2132,2220,2311,2362,2419,2497,2605,2751,2798,2929,3082,3168,3340,0.051,,
Southwest,16565,17939,18825,19731,21131,22159,23969,25659,28322,29786,32641,36556,38289,41393,46415,48208,49577,52523,55029,56620,59847,62518,63780,67305,0.063,,
Arizona,2886,3033,3320,3353,3440,3628,3817,4119,4455,4594,5103,5895,6212,6851,7452,7969,8563,9280,9716,10034,10693,11085,11346,11922,0.064,,
New Mexico,816,931,979,1031,1112,1239,1319,1390,1395,1460,1529,1642,1808,2000,2100,2275,2440,2548,2774,2836,3073,3234,3253,3314,0.063,,
Oklahoma,1849,2032,2095,2207,2313,2426,2639,2801,3034,3228,3630,3809,4011,4072,4371,4664,5011,5193,5368,5438,5788,5927,6094,6404,0.055,,
Texas,11013,11942,12431,13139,14266,14868,16194,17349,19438,20504,22380,25210,26259,28470,32491,33300,33563,35501,37171,38311,40294,42271,43087,45665,0.064,,
Rocky Mountains,4404,4802,5064,5313,5609,5912,6387,7273,7576,8412,9007,10025,11024,11711,12224,13257,13751,14387,14822,15121,15677,16098,16437,17347,0.061,,
Colorado,2283,2528,2608,2814,2941,3077,3291,3896,4059,4558,4825,5288,5907,6167,6284,6924,6959,7218,7364,7409,7721,7907,7987,8572,0.059,,
Idaho,575,614,670,682,746,787,855,921,977,1050,1119,1247,1332,1451,1581,1696,1777,1896,1963,1998,2035,2004,2065,2165,0.059,,
Montana,433,467,482,467,516,555,591,617,661,737,818,929,1009,1079,1111,1182,1261,1330,1409,1464,1559,1629,1643,1696,0.061,,
Utah,880,947,1032,1069,1101,1181,1313,1448,1483,1595,1741,1983,2166,2374,2568,2720,2965,3088,3209,3326,3410,3559,3752,3881,0.067,,
Wyoming,233,245,271,281,304,311,337,392,396,471,504,578,610,641,680,734,788,855,876,923,951,999,990,1034,0.067,,
Far West,35193,38368,40219,41185,42986,44782,45977,49973,50020,51213,54478,58262,64771,69643,75872,78978,85001,88957,90546,94803,98263,100711,103009,109212,0.050,,
Alaska,403,422,451,459,493,543,578,646,688,749,880,1054,1138,1260,1384,1437,1525,1597,1724,1855,2039,2244,2342,2481,0.082,,
California,27573,30038,31527,32092,33137,34460,35156,37346,37028,37358,39113,41420,46063,49402,54033,55785,60748,63465,63940,67545,69788,71352,72709,76688,0.045,,
Hawaii,844,892,969,1091,1219,1350,1349,1459,1408,1404,1378,1510,1625,1710,1795,1910,2153,2216,2291,2331,2454,2546,2603,2722,0.052,,
Nevada,1026,1155,1206,1274,1381,1462,1646,1821,1904,2140,2377,2658,3116,3471,3803,3999,4188,4310,4423,4434,4560,4670,4872,5304,0.074,,
Oregon,1833,2031,2137,2233,2395,2467,2670,3244,3309,3359,3940,4035,4583,5039,5455,5911,5899,6223,6216,6342,6674,6802,7074,7455,0.063,,
Washington,3515,3831,3930,4035,4361,4499,4578,5456,5684,6204,6788,7585,8247,8761,9403,9936,10488,11146,11952,12297,12748,13099,13408,14562,0.064,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
