Table 12: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Hospital Services (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
New Jersey,1167,1266,1359,1419,1400,1393,1414,1444,1431,1570,1610,1765,1880,1952,2032,2125,2222,2226,2485,2519,2536,2748,2822,2915,0.041,,
New York,1355,1431,1512,1600,1619,1663,1674,1689,1756,1816,1921,2052,2224,2379,2487,2675,2792,2842,3052,3165,3226,3362,3501,3633,0.044,,
Pennsylvania,1313,1430,1480,1483,1537,1497,1542,1543,1590,1670,1781,1881,2005,2156,2356,2513,2651,2735,2799,2992,3136,3205,3329,3416,0.042,,
Great Lakes,1120,1192,1251,1298,1339,1378,1424,1440,1500,1563,1667,1787,1923,2077,2232,2390,2543,2612,2820,2959,3035,3233,3321,3491,0.051,,
Illinois,1222,1301,1352,1398,1429,1452,1494,1510,1558,1626,1716,1822,1937,2044,2184,2322,2530,2583,2698,2836,2916,3034,3188,3380,0.045,,
Indiana,1034,1112,1186,1215,1246,1200,1336,1387,1460,1527,1598,1717,1859,2045,2124,2288,2455,2478,2756,2857,2999,3375,3320,3492,0.054,,
Michigan,1117,1176,1239,1308,1380,1432,1461,1477,1516,1557,1617,1717,1850,2015,2181,2360,2516,2586,2710,2887,2977,3107,3147,3256,0.048,,
Ohio,1120,1203,1263,1304,1344,1409,1426,1408,1477,1539,1705,1831,1987,2172,2389,2546,2646,2729,3085,3189,3196,3494,3650,3809,0.055,,
Wisconsin,982,1037,1082,1130,1147,1237,1291,1343,1434,1516,1648,1822,1966,2106,2228,2392,2506,2638,2824,3011,3120,3206,3253,3502,0.057,,
Plains,1053,1125,1173,1242,1286,1330,1394,1422,1500,1573,1700,1839,1976,2106,2274,2391,2561,2711,2840,2953,3065,3202,3292,3431,0.053,,
Iowa,1078,1126,1174,1251,1304,1370,1422,1496,1577,1641,1753,1868,1971,2083,2239,2385,2494,2598,2723,2852,2944,3064,3154,3292,0.050,,
Kansas,1062,1146,1177,1245,1296,1323,1368,1373,1469,1461,1550,1632,1740,1885,2024,2170,2297,2403,2490,2560,2650,2828,2827,2964,0.046,,
Minnesota,920,964,975,1045,1086,1095,1226,1220,1324,1418,1535,1718,1823,1970,2141,2282,2403,2496,2669,2796,2959,3057,3232,3373,0.058,,
Missouri,1152,1251,1340,1402,1423,1465,1495,1534,1573,1655,1787,1924,2141,2256,2408,2424,2729,2963,3036,3117,3193,3369,3390,3492,0.049,,
Nebraska,1024,1103,1157,1216,1271,1381,1396,1431,1539,1692,1867,1973,2090,2231,2453,2671,2750,2897,3001,3148,3175,3265,3341,3492,0.055,,
North Dakota,1055,1157,1236,1333,1445,1524,1649,1726,1757,1793,2006,2241,2218,2343,2489,2635,2778,2978,3370,3473,3803,3910,4215,4479,0.065,,
South Dakota,1110,1153,1175,1247,1344,1414,1478,1504,1604,1667,1826,1993,2144,2275,2594,2824,2930,3138,3391,3648,3853,4000,4169,4415,0.062,,
Southeast,1064,1136,1184,1215,1253,1297,1335,1354,1397,1459,1549,1649,1750,1854,1961,2066,2148,2206,2349,2431,2472,2627,2695,2807,0.043,,
Alabama,1092,1201,1225,1257,1345,1411,1405,1379,1407,1448,1505,1590,1680,1757,1919,1980,2007,2031,2158,2201,2248,2440,2573,2625,0.039,,
Arkansas,1008,1070,1102,1131,1190,1263,1301,1353,1382,1443,1576,1694,1777,1844,1958,2011,2077,2190,2297,2357,2407,2530,2558,2673,0.043,,
Florida,1109,1169,1210,1221,1238,1276,1311,1317,1362,1435,1515,1635,1712,1801,1882,1992,2079,2138,2306,2408,2404,2559,2592,2732,0.040,,
Georgia,1064,1131,1187,1203,1221,1245,1248,1268,1276,1340,1409,1485,1580,1650,1746,1817,1873,1881,1989,2015,2050,2198,2340,2446,0.037,,
Kentucky,1052,1136,1175,1200,1239,1307,1394,1438,1469,1554,1666,1788,1856,1999,2200,2355,2435,2494,2691,2790,2886,2942,3078,3217,0.050,,
Louisiana,1182,1255,1339,1408,1451,1461,1503,1541,1588,1578,1697,1805,1916,2026,2092,2243,2347,2452,2630,2804,2735,2773,2907,3050,0.042,,
Mississippi,1001,1079,1140,1217,1343,1411,1418,1491,1512,1582,1711,1829,1930,2106,2173,2355,2536,2664,2715,2659,2713,3107,3146,3228,0.052,,
North Carolina,948,1026,1072,1123,1184,1248,1296,1309,1383,1472,1549,1633,1769,1899,1989,2108,2135,2171,2321,2424,2536,2727,2682,2779,0.048,,
South Carolina,1050,1129,1197,1272,1295,1299,1408,1429,1486,1550,1653,1777,1883,1972,2065,2165,2276,2425,2560,2669,2727,2769,2837,2933,0.046,,
Tennessee,1103,1208,1261,1264,1243,1298,1322,1318,1369,1451,1529,1609,1709,1812,1932,2037,2130,2105,2167,2253,2288,2448,2540,2617,0.038,,
Virginia,993,1027,1065,1082,1127,1170,1213,1240,1299,1336,1425,1508,1646,1774,1908,1996,2117,2212,2381,2461,2539,2706,2789,2912,0.048,,
West Virginia,1168,1273,1339,1395,1461,1534,1617,1689,1750,1825,1992,2102,2260,2434,2630,2754,2921,2999,3255,3351,3452,3758,3876,4037,0.055,,
Southwest,973,1052,1097,1103,1117,1148,1167,1206,1246,1293,1406,1536,1628,1707,1864,1935,2020,2136,2270,2370,2419,2549,2614,2703,0.045,,
Arizona,902,938,950,964,956,958,973,1010,1026,1086,1136,1271,1401,1492,1739,1796,1897,1981,2125,2223,2206,2267,2334,2337,0.042,,
New Mexico,1013,1089,1134,1140,1147,1178,1252,1300,1391,1384,1479,1560,1580,1732,1982,2015,2156,2426,2623,2777,2791,2889,2973,3166,0.051,,
Oklahoma,990,1056,1091,1135,1188,1240,1234,1276,1333,1385,1490,1587,1820,1882,2090,2178,2289,2419,2460,2585,2728,2868,2964,3118,0.051,,
Texas,982,1074,1128,1126,1140,1175,1194,1233,1273,1320,1452,1591,1658,1731,1851,1927,2000,2110,2250,2342,2397,2545,2605,2698,0.045,,
Rocky Mountains,906,954,971,984,1028,1053,1101,1121,1160,1248,1352,1448,1550,1670,1762,1877,1986,2083,2228,2349,2438,2550,2682,2833,0.051,,
Colorado,964,1012,1017,1021,1056,1063,1079,1101,1147,1240,1352,1444,1543,1669,1700,1834,1952,2049,2209,2326,2363,2439,2600,2739,0.046,,
Idaho,832,893,907,934,978,1043,1077,1138,1198,1245,1350,1466,1561,1610,1755,1885,1992,2011,2162,2316,2523,2748,2860,3038,0.058,,
Montana,1000,1053,1082,1107,1197,1158,1321,1417,1520,1588,1718,1802,1932,2081,2309,2459,2578,2712,2911,3106,3239,3390,3664,3722,0.059,,
Utah,767,819,847,852,884,939,1005,965,936,1042,1121,1213,1310,1447,1551,1595,1668,1796,1888,1949,2039,2133,2169,2351,0.050,,
Wyoming,1016,1016,1079,1133,1221,1290,1347,1404,1524,1633,1743,1887,2010,2136,2347,2543,2744,2864,3029,3287,3441,3607,3789,4001,0.061,,
Far West,958,1018,1053,1066,1069,1071,1071,1120,1188,1236,1347,1441,1548,1645,1750,1852,1958,2086,2216,2371,2490,2609,2733,2817,0.048,,
Alaska,1105,1155,1210,1251,1402,1536,1638,1650,1753,1947,2194,2287,2410,2527,2906,3131,3364,3659,3815,3996,4112,4198,4379,4715,0.065,,
California,981,1038,1074,1081,1075,1066,1061,1121,1178,1223,1330,1414,1520,1615,1709,1812,1898,2015,2134,2310,2451,2561,2695,2753,0.046,,
Hawaii,1051,1125,1213,1278,1327,1416,1347,1332,1388,1428,1577,1614,1747,1787,1951,2009,2139,2313,2412,2421,2395,2605,2689,2764,0.043,,
Nevada,866,907,939,969,951,970,955,979,1036,1079,1182,1329,1365,1480,1541,1618,1753,1889,1926,1971,2038,2032,2206,2376,0.045,,
Oregon,808,887,929,940,973,989,1029,1085,1149,1233,1364,1477,1553,1682,1826,1934,2032,2103,2266,2435,2513,2586,2699,2940,0.058,,
Washington,889,962,975,1013,1031,1053,1066,1084,1222,1247,1354,1492,1642,1736,1856,1953,2146,2336,2554,2649,2724,2949,3003,3090,0.056,,
"SOURCES: U.S. Census Bureau; and Centers for Medicare and Medicaid Services, Office of the Actuary, National HealthStatistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
