Table 9: Total All Payers State Estimates by State of Residence (1991 - 2014) - Durable Medical Equipment  (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Southwest,1445,1510,1595,1730,1803,1962,2162,2440,2633,2864,2855,3122,3237,3398,3552,3747,3995,4177,4101,4336,4639,4822,4963,5158,0.057,,
Arizona,281,288,303,330,343,372,415,451,482,534,546,609,662,721,802,876,987,984,980,1019,1074,1103,1135,1173,0.064,,
New Mexico,105,108,115,127,137,154,174,194,210,234,231,250,260,273,289,309,332,344,348,370,390,401,410,430,0.063,,
Oklahoma,150,158,165,181,188,207,231,254,271,287,281,300,299,302,305,311,319,343,330,356,390,414,432,448,0.049,,
Texas,909,956,1011,1091,1136,1229,1342,1541,1670,1808,1798,1963,2016,2101,2156,2252,2357,2506,2442,2591,2785,2905,2987,3107,0.055,,
Rocky Mountains,514,536,556,598,619,677,747,833,908,1001,998,1071,1123,1196,1289,1388,1494,1516,1505,1575,1676,1746,1813,1879,0.058,,
Colorado,254,263,270,287,297,325,356,403,446,501,498,537,559,593,633,677,719,733,730,762,812,847,880,919,0.057,,
Idaho,65,71,75,81,84,90,98,105,112,121,120,131,140,153,167,182,202,199,200,209,220,227,237,244,0.059,,
Montana,44,46,48,53,55,61,67,77,86,97,100,112,114,118,120,123,128,132,133,142,152,161,165,169,0.060,,
Utah,127,132,137,147,151,164,182,203,216,233,233,242,259,281,318,352,389,393,386,400,424,441,460,473,0.059,,
Wyoming,23,24,26,30,32,37,42,46,47,49,47,49,49,50,51,53,56,60,57,61,67,70,72,75,0.053,,
Far West,1649,1721,1800,1954,2026,2232,2460,2728,2946,3171,3208,3471,3717,3985,4269,4554,4955,4994,4980,5186,5440,5668,5823,6051,0.058,,
Alaska,28,30,31,34,35,38,41,45,49,52,52,57,59,63,67,69,72,77,79,85,92,95,98,102,0.057,,
California,1088,1129,1179,1278,1324,1457,1602,1758,1877,1988,1996,2141,2309,2486,2651,2832,3100,3112,3100,3221,3379,3517,3607,3740,0.055,,
Hawaii,57,60,66,76,84,97,111,121,127,133,129,135,143,153,167,179,193,198,205,214,221,227,232,240,0.064,,
Nevada,67,73,80,94,104,124,142,162,180,199,205,227,255,280,306,331,376,369,356,369,382,400,409,426,0.084,,
Oregon,122,130,136,146,150,164,180,206,229,262,280,311,320,334,358,383,401,407,412,430,454,471,490,513,0.064,,
Washington,286,298,308,326,330,352,384,435,485,536,546,600,631,670,720,761,813,831,828,867,912,958,988,1030,0.057,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
