Table 5: Total All Payers State Estimates by State of Residence (1991 - 2014) - Dental Services (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Illinois,1449,1618,1695,1807,1937,2026,2151,2277,2401,2640,2980,3150,3271,3451,3671,3818,4053,4172,4193,4521,4391,4527,4525,4594,0.051,,
Indiana,571,671,701,747,829,887,946,1011,1116,1218,1336,1458,1503,1608,1709,1762,1869,1888,1934,1966,2038,2123,2135,2164,0.060,,
Michigan,1402,1556,1621,1716,1830,1945,2065,2102,2254,2469,2756,2885,2907,3144,3251,3378,3464,3569,3590,3630,3692,3647,3677,3755,0.044,,
Ohio,1272,1406,1470,1551,1663,1773,1858,1988,2094,2255,2457,2705,2654,2889,3069,3143,3253,3417,3494,3651,3819,3650,3640,3676,0.047,,
Wisconsin,698,766,800,864,961,1017,1035,1129,1218,1460,1449,1555,1677,1728,1806,1912,2024,2143,2227,2424,2515,2232,2217,2281,0.053,,
Plains,2054,2320,2402,2574,2814,2934,3172,3441,3658,3961,4338,4737,4905,5343,5580,5838,6268,6463,6710,6989,7176,7135,7210,7391,0.057,,
Iowa,324,359,368,384,413,429,471,486,505,559,615,666,685,747,782,840,878,915,977,1007,1070,1050,1060,1093,0.054,,
Kansas,300,333,354,371,407,431,460,498,540,574,620,659,683,722,745,786,866,914,938,961,993,1004,1009,1023,0.055,,
Minnesota,591,690,699,753,816,860,951,1059,1122,1232,1336,1501,1585,1756,1847,1947,2070,2084,2170,2227,2271,2127,2140,2201,0.059,,
Missouri,531,589,613,665,715,758,807,882,928,994,1117,1203,1222,1332,1377,1401,1509,1556,1619,1668,1695,1759,1765,1787,0.054,,
Nebraska,175,195,200,222,264,252,267,281,311,330,359,383,391,418,436,457,489,505,502,571,566,580,597,613,0.056,,
North Dakota,63,71,78,87,97,99,103,116,124,129,137,152,155,172,178,188,207,225,235,264,277,285,300,318,0.073,,
South Dakota,70,83,90,92,103,105,112,120,128,145,156,174,185,196,214,220,249,265,270,291,303,329,340,355,0.073,,
Southeast,6572,7460,7917,8461,9166,9689,10534,11002,11939,13154,14291,15518,15989,17660,18892,20241,21545,22362,22501,23182,23773,24704,25280,26022,0.062,,
Alabama,402,455,480,517,550,583,626,653,707,756,809,886,975,974,1040,1098,1158,1212,1210,1259,1278,1302,1331,1353,0.054,,
Arkansas,223,248,264,285,325,350,374,378,414,460,493,527,562,592,635,661,727,758,784,788,818,883,900,917,0.064,,
Florida,1779,2015,2144,2249,2415,2592,2763,2870,3036,3261,3507,3862,3816,4552,4803,5152,5420,5466,5257,5389,5574,6056,6271,6551,0.058,,
Georgia,769,881,930,1007,1094,1151,1253,1359,1488,1675,1842,2017,2104,2235,2479,2644,2798,2821,2855,2870,2913,3027,3108,3214,0.064,,
Kentucky,328,375,392,415,447,469,515,529,569,625,689,760,770,866,878,951,1019,1043,1066,1089,1115,1141,1164,1181,0.057,,
Louisiana,383,437,465,505,548,595,666,674,720,726,760,787,806,880,911,993,1061,1084,1103,1139,1162,1280,1320,1350,0.056,,
Mississippi,190,221,234,258,278,290,319,335,367,393,436,460,491,492,532,583,616,642,648,685,672,727,747,758,0.062,,
North Carolina,703,796,848,943,1040,1101,1222,1296,1452,1582,1844,1941,2020,2233,2408,2623,2831,3039,3180,3270,3349,3345,3435,3549,0.073,,
South Carolina,359,397,410,443,489,508,574,614,655,774,833,896,912,995,1073,1143,1207,1310,1297,1386,1407,1436,1473,1539,0.065,,
Tennessee,510,583,627,682,732,758,828,870,960,1034,1137,1224,1297,1384,1471,1521,1634,1688,1736,1808,1831,1838,1834,1877,0.058,,
Virginia,782,853,912,962,1032,1079,1159,1175,1312,1590,1627,1819,1888,2070,2253,2445,2618,2805,2861,2985,3141,3128,3148,3182,0.063,,
West Virginia,146,199,211,195,215,214,235,250,259,276,315,341,346,386,408,429,455,494,505,513,515,540,549,549,0.059,,
Southwest,2680,3051,3253,3472,3786,4037,4378,5078,5502,6005,6514,6750,7011,7469,7969,8546,9337,10424,10565,10887,11238,11579,11740,12076,0.068,,
Arizona,470,519,557,598,659,703,737,816,888,1011,1141,1242,1340,1504,1653,1828,1960,2010,1990,1975,2007,2176,2239,2251,0.071,,
New Mexico,149,171,175,188,215,232,249,270,289,316,347,383,406,433,470,491,549,581,589,635,663,692,702,724,0.071,,
Oklahoma,322,372,372,396,425,452,491,535,564,625,662,728,788,850,905,967,1054,1150,1164,1206,1240,1269,1289,1324,0.063,,
Texas,1739,1989,2149,2290,2487,2651,2901,3457,3762,4053,4364,4397,4478,4681,4941,5261,5774,6684,6823,7072,7327,7443,7510,7777,0.067,,
Rocky Mountains,1035,1165,1262,1373,1525,1602,1735,1908,2052,2292,2478,2741,2820,3080,3217,3365,3681,3893,3980,4080,4166,4391,4491,4619,0.067,,
Colorado,514,567,614,667,745,781,840,916,1003,1133,1217,1352,1402,1524,1565,1614,1750,1836,1929,1953,2014,2119,2174,2239,0.066,,
Idaho,143,168,184,207,224,236,254,278,296,339,364,422,424,460,489,527,568,618,608,612,610,616,624,636,0.067,,
Montana,94,106,113,123,133,137,150,162,178,191,211,222,231,245,258,273,299,314,317,333,338,371,383,396,0.064,,
Utah,229,263,289,306,348,365,407,464,480,529,574,624,640,718,756,793,880,930,928,970,990,1054,1077,1107,0.071,,
Wyoming,55,61,62,71,75,82,83,89,95,100,112,121,123,134,149,158,184,196,199,212,214,231,234,241,0.067,,
Far West,7213,7957,8472,9060,9508,10040,10669,11516,11975,12761,13790,15284,16073,16935,18068,18669,20011,21214,20671,20552,20718,20970,21126,21757,0.049,,
Alaska,102,115,126,136,141,151,161,169,169,190,201,221,232,241,257,267,296,318,315,334,333,371,384,399,0.061,,
California,5257,5745,6101,6467,6710,7075,7477,8138,8352,8831,9511,10633,11281,11853,12720,13044,13878,14810,14318,14070,14164,14155,14149,14557,0.045,,
Hawaii,191,217,239,248,263,265,265,265,287,298,321,352,362,377,410,411,452,470,472,485,486,480,479,487,0.042,,
Nevada,169,193,198,237,256,292,322,362,412,463,511,570,619,690,726,798,879,902,864,871,901,925,949,989,0.080,,
Oregon,512,556,605,663,733,777,841,890,952,1017,1100,1188,1196,1260,1326,1397,1513,1556,1565,1597,1630,1716,1758,1813,0.057,,
Washington,982,1130,1203,1309,1406,1480,1602,1692,1803,1962,2147,2319,2383,2514,2630,2751,2993,3158,3139,3196,3205,3323,3406,3511,0.057,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
